clinical_trial	gender	ethnicity	brief_title	initial_data_release_version_number	program_name	latest_data_release_version	arm_name	lab_test_panel_count	assay_method_count	clinicaltrials_link	pubmed_id	age_range	planned_visit_total_count	arm_accession	minimum_age	has_lab_test	latest_data_release_date	gender_included	analyte_preferred_count	maximum_age	research_focus	contract_grant_external_id	latest_data_release_version_number	race	actual_enrollment	initial_data_release_date	brief_description	biosample_type	shared_subject_count	max_age	study_accession	contract_grant_name	study_pi	species	initial_data_release_version	condition_or_disease	has_assessment	assessment_panel_count	age_unit	assay_method	min_age	doi
N	Female;Male	Not Hispanic or Latino	Bioinformatics Approach to 2010-2011 TIV Influenza A/H1N1 Vaccine Immune Profiling	14.0	Human Immunology Project Consortium (HIPC) RFA-AI-14-007, RFA-AI-09-040	DR45	healthy adults, 50-74 yo		Cell Culture (556);DNA methylation profiling assay (1428);ELISPOT (1113);Flow Cytometry (3387);Hemagglutination Inhibition (1272);Mass Spectrometry (61);Meso Scale Discovery ECL (1272);PCR (466);Q-PCR (159);RNA sequencing (1100);Virus Neutralization (635)		25816015;27031986;27441275;29130882	50.0-73.0	4	ARM544	  50.00	N	2022-09-02	Female, Male	CCR4 (706);CD127 (706);CD24 (678);CD27 (678);CD28 (706);CD3 (1384);CD38 (706);CD4 (706);CD45RO (706);HLADR (706);IL2RA (706)	  73.00	Vaccine Response	AI089859	45.0	White;Other;Asian	159	2015-06-19	Aim 1: Characterize Immune Profiles Over Time, Aim 2: Correlate Immune Profiles with Vaccine Immunogenicity,Aim 3: Replication of Immune Profiles and Verification of Models	PBMC;Other;DNA;Whole blood		73.0	SDY67	Bioinformatics Approach to Influenza A/H1N1 Vaccine Immune Profiling	Gregory Poland: Mayo Clinic	Homo sapiens	DR14	swine influenza;Aging	N		Years	Cell Culture;RNA sequencing;ELISPOT;Virus Neutralization;Q-PCR;Flow Cytometry;PCR;Hemagglutination Inhibition;Meso Scale Discovery ECL;DNA methylation profiling assay;Mass Spectrometry	50.0	10.21430/M3OYWCJHO1
N	Female;Unknown	Hispanic or Latino;Other;Not Hispanic or Latino	Immune response of patients during pregnancy	1.0	Immune Function and Biodefense in Children, Elderly, and Immunocompromised Populations	DR1	Healthy Pregnant Women		ELISA (5362);Flow Cytometry (259);Q-PCR (1146)		22198680;22353963;22447351	0.0-40.0	6	ARM210	    .00	N	2013-04-05	Female, Unknown	BDCA2, CD303 (259);CD14 (777);CD16 (259);CD19 (777);CD3 (259);CD4 (259);CD45RO (259);CD56 (259);CD8 (259)	  40.00	Vaccine Response	AI050028	1.0	Unknown;Other;Black or African American;White;American Indian or Alaska Native	58	2013-04-05	Immunological changes play a physiological role in pregnancy, however they may also have consequences for vaccine response and immunotherapy, which ultimately could impact maternal and fetal survival in the event of transmission of infectious diseases and/or bioterrorism.<br/><br/>The purpose of this study is to characterize the changes in human immune response that occurs during pregnancy and lactation.	Other;DNA		40.0	SDY36	Immune Response to Virus Infection During Pregnancy	Thomas Moran: School of Medicine;Peter Palese: Department of Microbiology;Garcia Sastre: Department of Microbiology	Homo sapiens	DR1	Pregnancy	N		Years	ELISA;Q-PCR;Flow Cytometry	0.0	10.21430/M3W4XGM811
N	Female;Male		IL-21 expression during H. pylori infection	11.0	Modeling Immunity for Biodefense II	DR52.1	H. pylori PMSS1 Infected IL21 null;H. pylori PM-SS1 Infected Wild-type		Flow Cytometry (60);Luminex xMAP (36);Microscopy (36);Q-PCR (36)		25053783	0.02-0.17	15	ARM2108;ARM2109	   8.00	N	2024-07-25	Female, Male	CD45RO (24)	  61.00	Immune Response	HHSN272201000056C	52.1		36	2014-08-07	The development of gastritis during Helicobacter pylori infection is dependent on an activated adaptive immune response orchestrated by T helper cells. The relative contributions of T helper 1 (Th1) and T helper 17 (Th17) subsets to gastritis and control of infection are still under investigation. Expression of IL-21, which may be produced by a number of T cell subsets, has been reported to increase during H. pylori infection. To investigate the role of IL-21 in the gastric mucosa during H. pylori infection, we combined mathematical modeling of CD4+ T cell differentiation with in vivo studies to elucidate the impact of IL-21 on H. pylori infection. Our computational modeling efforts predict that IL-21 activates the production of IFN gamma and IL17, the expression of Tbet and RORgamma t, the phosphorylation of STAT3, and suggest a potential role of IL-21 in the modulation of IL-10. To elucidate the role IL-21 in vivo, we infected IL-21 deficient mice and wild-type littermates with H. pylori strain SS1, and assessed colonization, gastric inflammation, cellular infiltration, and cytokine profiles in the gastric tissue.	Stomach		0.17	SDY302	Virginia Bioinformatics Institute Modeling Immunity for Biodefense Contract	Josep Bassaganya-Riera: NIMML;Raquel Hontecillas: NIMML;Pinyi Lu: NIMML;Adria Carbo: NIMML	Mus musculus	DR11	Helicobacter Pylori Infection	N		Days	Q-PCR;Flow Cytometry;Microscopy;Luminex xMAP	0.02	10.21430/M3HIA408ZR
N	Female;Male	Not Hispanic or Latino	Immune Responses to Seasonal LAIV 2011-2012 Influenza Vaccination in Humans (see companion study SDY224,SDY564)	23.0	Modeling Immunity for Biodefense II	DR52.1	LAIV 2011		ELISA (642);ELISPOT (381);Flow Cytometry (1513);Hemagglutination Inhibition (693);Sequencing (0)			21.0-63.0	13	ARM2343	  21.00	N	2024-07-25	Female, Male	CCR10 (264);CCR6 (730);CD138 (783);CD14 (730);CD19 (783);CD20 (783);CD27 (1513);CD3 (1513);CD38 (783);CD4 (1123);CD45RA (730);CD62L (390);CD69 (730);CD8 (1123);CXCR5 (393);IFNG (730);IgG (359);IgM (346);IL2 (730);Ki67 (1123);MCP1 (393);MIP1A (160);MIP1B (570);TNFA (730)	  63.00	Vaccine Response	HHSN272201000055C	52.1	White;Black or African American;Asian	18	2017-09-29	To use system biology approaches to compare differences in immune responses to vaccine	Serum;PBMC;B cell		63.0	SDY396	University of Rochester Center for Biodefense Immune Modeling II	Hulin Wu: University of Rochester Center for Biodefense Immune Modeling;Martin Zand: University of Rochester Center for Biodefense Immune Modeling	Homo sapiens	DR23	influenza	N		Years	ELISPOT;ELISA;Sequencing;Flow Cytometry;Hemagglutination Inhibition	21.0	10.21430/M3S7UQFBVS
N	Male;Female	Hispanic or Latino;Not Hispanic or Latino;Not Specified	Effects of tissue localization on Natural Killer (NK) cell phenotypic and functional diversity	36.0	NIAID Investigator Initiated Program Project Applications (P01) PAR-16-413, PAR-13-254	DR52.1	All subjects for human NK cell diversity study		Flow Cytometry (528);RNA sequencing (30)		32059780	5.0-90.0	1	ARM5244	   5.00	N	2024-07-25	Female, Male	CCR7 (20);CCRL1 (45);CD103 (370);CD107a (113);CD127 (113);CD14 (415);CD158E1 (27);CD158i (27);CD159c (27);CD16 (469);CD160 (27);CD161 (27);CD19 (415);CD244 (86);CD27 (27);CD28 (27);CD294 (27);CD3 (469);CD314 (27);CD4 (27);CD45RO (381);CD49a (172);CD56 (528);CD57 (424);CD69 (388);CD8 (260);CD85J (27);CD95 (7);CXCR6 (163);GranB (159);IFNG (54);IL23R (45);IL2RA (45);Ki67 (160);Kir3dl1 (27);NKG2A (275);NKP44 (27);PD1 (39);Perforin (54);TNFA (54);TNFRSF9 (27)	  90.00	No Research Focus Specified	AI106697	52.1	Unknown;Black or African American;White;Asian;Not Specified	78	2020-09-30	This study characterizes human Natural Killer (NK) cells across multiple lymphoid and mucosal tissues from individual organ donors using high-dimensional flow cytometry and whole transcriptome analysis.	Lung lymph node;Spleen;Bone Marrow;Tonsil;Ileum;PBMC;Lung;Jejunum;Colon;Pooled Sample;Mesenteric lymph node;Inguinal lymph node	SDY1290 (1);SDY1389 (6);SDY1885 (11);SDY2188 (17);SDY1764 (3);SDY2107 (1);SDY1654 (1)	90.0	SDY1630	Tissue compartmentalization of human lymphocytes	Donna Farber: Columbia University	Homo sapiens	DR36		N		Years	RNA sequencing;Flow Cytometry	5.0	10.21430/M38FVNPEZC
N	Male;Female		HP47	21.0	Modeling Immunity for Biodefense II	DR21	H. pylori 26695;H. pylori SS1 5x10e8;H. pylori SS1 5X10e7;Uninfected (Control);H. pylori SS1 5x10e5;H. pylori SS1 5X10e6;H. pylori PMSS1;H. pylori SS1;Uninfected;H. pylori SS1 (Case)		Flow Cytometry (1018);Other (182)			0.12-0.22	37	ARM2794;ARM2777;ARM2774;ARM2775;ARM2785;ARM2786;ARM2795;ARM2773;ARM2791;ARM2793;ARM2772;ARM2776;ARM2792;ARM2790;ARM2789	  45.00	N	2017-04-21	Female, Male	BCL6 (48);CCRL1 (257);CD64 (515);IL21 (96)	  81.00	Infection Response	HHSN272201000056C	21.0		426	2017-04-21	WT and PPARgfl/fl:LysCre+ (R2+) mice were infected with 5x10e7 CFU of different Helicobacter pylori strains (26695, SS1 and PMSS1). A control uninfected group was included for each genotype. Tissues were collected at 9 months post-infection to determine bacterial loads (stomach) and to assess the expansion of CD4 and CD8 T cells, macrophages, dendritic cells and neutrophils by flow cytometry (blood, spleen and stomach).	Spleen;Stomach		0.22	SDY601	Virginia Bioinformatics Institute Modeling Immunity for Biodefense Contract	Monica Viladomiu: NIMML;Raquel Hontecillas: NIMML;Josep Bassaganya-Riera: NIMML	Mus musculus	DR21	Helicobacter Pylori Infection	N		Days	Other;Flow Cytometry	0.12	10.21430/M3SB5VLQDV
Y	Male;Female	Hispanic or Latino;Other;Not Hispanic or Latino	Plasmablast response to inactivated and live attenuated influenza vaccines (TIV3/TIV3 ID) SLVP021 2012	18.0	Human Immunology Project Consortium (HIPC) RFA-AI-14-007, RFA-AI-09-040	DR52.1	CyTOF control samples;TIV group;ID TIV group	Immunology Test (28)	CyTOF (23);ELISA (23);ELISPOT (23);Flow Cytometry (296);Hemagglutination Inhibition (48);Luminex xMAP (30);Transcription profiling by array (24)	https://clinicaltrials.gov/ct2/show/NCT02141581	31636302	19.79-33.0	3	ARM2521;ARM2115;ARM2114	19.79	Y	2024-07-25	Female, Male	B7-2 (46);CCR10 (117);CCR6 (46);CCR7 (46);CD11b (46);CD11c (46);CD123 (46);CD127 (46);CD14 (69);CD16 (46);CD161 (46);CD19 (151);CD20 (46);CD24 (46);CD27 (46);CD278 (46);CD28 (46);CD3 (46);CD38 (163);CD4 (46);CD45RA (163);CD49 (128);CD56 (46);CD57 (46);CD62L (128);CD8 (46);CD85J (46);CD94 (46);CLA, CD162 (128);CXCR3 (23);CXCR5 (46);HLADR (46);IFNA (21);IFNG (21);IgD (46);IgG (57);IL10 (21);IL2 (21);IL21 (21);IL2RA (46);IL6 (21);IL7 (21);PD1 (46);SIGLEC-3 (46);TLR7 (117)	31.63	Vaccine Response	AI090019	52.1	White;Other;Asian;Unknown	25	2016-03-18	To study the plasmablast response to 2012 seasonal inactivated influenza vaccine	Other;Serum;Whole blood;PBMC;Plasma	SDY472 (15);SDY113 (21);SDY1479 (7);SDY311 (1);SDY315 (1);SDY112 (1);SDY314 (1);SDY478 (1);SDY515 (1);SDY519 (1);SDY1464 (1);SDY1465 (1);SDY1466 (1);SDY1482 (1);SDY1483 (1);SDY1471 (1);SDY1469 (1);SDY1480 (1);SDY1481 (1);SDY1484 (1);SDY406 (1);SDY1472 (1);SDY2471 (1);SDY2497 (1)	33.0	SDY305	Vaccination and infection: indicators of immunological health and responsiveness	Harry Greenberg: Stanford University	Homo sapiens	DR18	influenza	N		Years	CyTOF;Transcription profiling by array;ELISPOT;ELISA;Flow Cytometry;Luminex xMAP;Hemagglutination Inhibition	19.79	10.21430/M3U2R9IV87
N	Female;Male	Hispanic or Latino;Not Hispanic or Latino;Not Specified	Heterogeneity of human anti-viral immunity shaped by virus, tissue, age, and sex	42.0	Human Immunology Project Consortium (HIPC) RFA-AI-15-041	DR42	Tissues from organ donors		Flow Cytometry (641);Luminex xMAP (8850);RNA sequencing (47)		34852222	1.0-78.0	1	ARM6089	   1.00	N	2022-01-24	Female, Male	CCL22 (8850);CCR4 (95);CCR6 (95);CCR7 (424);CCR9 (95);CD103 (424);CD107a (145);CD127 (156);CD14 (256);CD152 (61);CD154 (8850);CD160 (61);CD19 (313);CD244 (61);CD28 (192);CD3 (640);CD4 (640);CD45RA (424);CD45RO (484);CD56 (339);CD57 (275);CD69 (424);CD8 (640);CD95 (53);CLA, CD162 (95);CSF3 (8850);CXCL9 (8850);EGF (8850);Eotaxin (8850);FASLG (61);FGFB (8850);Fractalkine (8850);GMCSF (8850);GranB (145);GRO (8850);IFNA2 (8850);IFNG (8995);IL10 (8995);IL12p40 (8850);IL12p70 (8850);IL13 (8850);IL15 (8850);IL17A (8995);IL17F (8850);IL18 (8850);IL1A (8850);IL1B (8850);IL1RN (8850);IL2 (8995);IL22 (8850);IL25 (8850);IL27 (8850);IL2RA (95);IL3 (8850);IL4 (8995);IL5 (8995);IL6 (8850);IL7 (8850);IL8 (8850);IL9 (8850);IP-10 (8850);MCP1 (8850);MCP3 (8850);MCSF (8850);MIP1A (8850);MIP1B (8850);PD1 (61);Perforin (145);RANTES (8850);TGFA (8850);TNFA (8995);TNFB (8850);VEGFA (8850)	  78.00	Immune Response	AI128949	42.0	Unknown;Black or African American;White;Asian;Not Specified	59	2022-01-24	Focusing on CD8+ T cells, we elucidate the factors that shape the maintenance and function of anti-viral T cell immunity by comprehensive profiling of virus-specific T cells across blood, lymphoid organs, and mucosal tissues of organ donors.	Lung lymph node;Thymus;Other;Lymph node;Spleen;Ileum;Bone Marrow;Tonsil;PBMC;Lung;Jejunum;Colon;Mesenteric lymph node;Inguinal lymph node	SDY702 (1);SDY1041 (3);SDY1389 (6);SDY1290 (8);SDY1097 (1);SDY2188 (6);SDY1630 (11);SDY1767 (1);SDY1764 (1);SDY2107 (1);SDY2842 (7)	78.0	SDY1885	Human Anti-Viral Immune Responses In Tissues And Circulation (Columbia)	Donna Farber: Columbia University	Homo sapiens	DR42		N		Years	RNA sequencing;Flow Cytometry;Luminex xMAP	1.0	10.21430/M3Z6V3I3QM
N	Male;Female		Immune characterization of lung tumors by flow cytometry	50.2	NIH Program	DR50.2	Cohort 1;Cohort 2;Cohort 3		Flow Cytometry (562)			0.07-0.47	3	ARM7527;ARM7526;ARM7525	   3.70	N	2024-02-29		Ccr2 (66);Ccr6 (66);CD103 (332);CD11b (496);CD11c (396);CD127 (266);Cd19 (562);CD206 (166);Cd209a (66);CD223 (166);CD24 (166);Cd274 (166);CD3 (562);Cd4 (396);Cd44 (332);CD45RO (1190);CD62L (166);CD64 (166);Cd68 (166);Cd69 (100);Cd86 (166);Cd8a (396);Cx3cr1 (166);Cxcr4 (100);Flt3 (166);FOXP3 (166);hTIGIT (166);ICAM1 (100);Ifng (230);Il17a (230);Il2ra (166);PD1 (166)	  24.70	Immune Response	1ZIABC011670	50.2		83	2024-02-29	Characterization of tumor immune compartment in an endogenous mouse model of lung adenocarcinoma after chronic bacterial instillation	Lung;Whole blood		0.47	SDY2310	Role of the microbiota in regulating the mononuclear phagocyte system	Romina Araya: NCI-NIH;Romina Goldszmid: NCI-NIH	Mus musculus	DR50.2	cancer;lung cancer	N		Weeks	Flow Cytometry	0.07	10.21430/M3EQNSM26N
N	Male;Unknown;Female	Not Hispanic or Latino;Hispanic or Latino;Not Specified	Human Aging and CMV	16.0	Protective Immunity in Special Populations	DR16	CMV positive;CMV negative	Blood Cell Count with Differential (5865);CMV Screen and Titer (364)	Flow Cytometry (503)		24501199;27270402	21.06-90.0	2	ARM3054;ARM3055	  21.06	Y	2015-12-14	Female, Male, Unknown	CCR7 (503);CD11a (387);CD16 (387);CD28 (387);CD3 (503);CD4 (503);CD45RA (116);CD57 (116);CD62L (387);CD8b (503);CD95 (503)	  90.00	Immune Response	HHSN272201100017C 	16.0	Other;Unknown;Black or African American;White;Asian;Native Hawaiian or Other Pacific Islander;American Indian or Alaska Native	393	2015-12-14	Delineate the effect of aging from that of cytomegalovirus (CMV) infection upon relative and absolute changes in blood T cell subsets.	PBMC;Plasma;Whole blood	SDY720 (41)	90.0	SDY736	Immunological basis of age-related vulnerability in biodefense and emerging infections SP2 UAz	Janko Nikolich-Zugich: University of Arizona	Homo sapiens	DR16	Cytomegaloviral Infection;Aging	N		Years	Flow Cytometry	21.06	10.21430/M3736K8GMY
Y	Female;Male;Not Specified	Hispanic or Latino;Not Hispanic or Latino;Not Specified	T cell responses to H1N1v and a longitudinal study of seasonal influenza vaccination (TIV) SLVP015 2009 (See companion studies SDY315 2012 / SDY314 2008 / SDY311 2010 / SDY112 2011)	18.0	Human Immunology Project Consortium (HIPC) RFA-AI-14-007, RFA-AI-09-040	DR52.1	Group C;Group A;Phosphoflow cytometry control samples;Group B	Immunology Test (136);Blood Cell Count with Differential (2350)	Flow Cytometry (1155);Hemagglutination Inhibition (158);Luminex xMAP (484);Meso Scale Discovery ECL (512);Transcription profiling by array (73)	https://clinicaltrials.gov/ct2/show/NCT01827462	27746093;28092664;28179497;30842675;31636302	21.56-90.0	3	ARM2130;ARM2129;ARM2131;ARM2520	18	Y	2024-07-25	Female, Male, Not Specified	CD127 (76);CD16 (228);CD161 (76);CD19 (228);CD20 (700);CD24 (76);CD27 (151);CD28 (75);CD3 (1155);CD38 (152);CD4 (1003);CD45RA (775);CD56 (228);CD8 (455);CD85J (75);CD94 (76);CXCR3 (76);HLADR (152);IgD (76);IL2RA (76);PD1 (75);SIGLEC-3 (776);TLR6 (76)	90	Vaccine Response	AI090019	52.1	Other;White;Asian;American Indian or Alaska Native;Not Specified	84	2016-03-18	Systems biology approach to examine effects of seasonal flu vaccination in adults of different ages on gene expression, cytokine stimulation and serum cytokines with parameters such as immune senescence to uncover new markers and mechanisms behind failure of immune function in many older people.	Other;Serum;Whole blood;PBMC;Plasma	SDY314 (82);SDY460 (27);SDY773 (27);SDY887 (22);SDY1464 (60);SDY183 (69);SDY212 (82);SDY311 (68);SDY315 (49);SDY478 (49);SDY112 (62)	90.0	SDY312	Vaccination and infection: indicators of immunological health and responsiveness	Mark Davis: Stanford University	Homo sapiens	DR18	influenza;swine influenza	N		Years	Transcription profiling by array;Flow Cytometry;Luminex xMAP;Hemagglutination Inhibition;Meso Scale Discovery ECL	21.56	10.21430/M3G230OYOM
N			Longitudinal analysis shows durable and broad immune memory after SARS-CoV-2 infection with persisting antibody responses and memory B and T cells	45.0	SeroNet	DR52	COVID-19 positive adults;Pre-pandemic controls;Vero E6 Cell lines		ELISPOT (0);Flow Cytometry (0);Neutralizing Antibody Titer Assay (0)		34250512	18.0-82.0	18	ARM6681;ARM6682;ARM6680	  18.00	N	2024-06-27	Other		  82.00	Immune Response	U54CA260563	52.0		3	2022-09-02	To evaluate COVID-19 patients longitudinally up to 8 months and find durable broad-based immune responses.			82.0	SDY2044	Immune Regulation of COVID-19 Infection in Cancer and Autoimmunity	Ignacio Sanz: Emory University;Mehul Suthar: Emory University;Jens Wrammert: Emory University		DR45	COVID-19	N		Years	Neutralizing Antibody Titer Assay;Flow Cytometry;ELISPOT	18.0	10.21430/M3ONST24P3
N			Immune cells in bronchoalveolar lavage fluid of Ugandan adults who resist versus those who develop latent Mycobacterium tuberculosis infection	48.0	Immune Mechanisms of Protection Against Mycobacterium tuberculosis Center (IMPAc-TB)	DR49	LTBI;RESISTER		Flow Cytometry (0)		33836031		4	ARM7381;ARM7380		N	2023-08-25				Infection Response	75N93019C00071	49.0			2023-05-31	Bronchoscopy was performed on 21 healthy long-term Ugandan RSTR and 25 LTBI participants. Immune cell distributions in BAL and peripheral blood were compared by differential cell counting and flow cytometry.				SDY2268	Immune Mechanisms of Protection Against Mycobacterium tuberculosis Center (IMPAc-TB) Harvard School of Public Health	Henry Boom: Tuberculosis Research Unit and Division of Infectious Diseases;Harriet Mayanja-Kizza: Uganda-CWRU Research Collaboration		DR48	tuberculosis	N		Years	Flow Cytometry		10.21430/M3THLZ4OPE
N	Male		MaHPIC: Host M. mulatta infected with P. coatneyi	29.0	Systems Biology for Infectious Diseases Research	DR29	Experimental cohort of 5 non-human primates		Flow Cytometry (530)			4.4-4.9	8	ARM4722	   4.40	N	2019-01-16	Male	B7 (35);B7-2 (35);Caspase-3 (35);CCR5 (35);CCR6 (35);CCR7 (35);CD11b (35);CD11c (70);CD123 (70);CD14 (140);CD16 (460);CD20 (175);CD21 (35);CD27 (35);CD28 (35);CD3 (210);CD34 (35);CD4 (105);CD41 (320);CD44 (35);CD45RA (530);CD63 (320);CD64 (320);CD71a (35);CD8 (175);CD83 (35);CD95 (35);CXCR3 (35);CXCR5 (35);HLADR (70);Ki67 (35);PD1 (35)	   4.90	Infection Response	272201200031C	29.0		5	2019-01-16	MaHPIC: Experiment 03 - Macaca mulatta infected with Plasmodium coatneyi Hackeri strain to produce and integrate clinical, hematological, parasitological, and omics measures of acute, recrudescent, and chronic infections	Bone;Whole blood		4.9	SDY1411	Integrated Approach To Host-Pathogen Interactions	Tracey Lamb: Emory University;Rabindra Tirouvaniziam: Emory University;Monica Cabrera: Emory University;Jeremy DeBarry: University of Georgia;Mary Galinski: Emory University;Jay Humphrey: University of Georgia;Jessica Kissinger: University of Georgia;Chet Joyner: Emory University;Esmeralda Meyer: Emory University;Alberto Moreno: Emory University;Mustafa Nural: University of Georgia;Suman Pakala: University of Georgia;Celia Saney: Emory University;Stephanie Soderberg: Emory University;F. Eun-Hyung Lee: Emory University	Macaca mulatta	DR29	malaria	N		Years	Flow Cytometry	4.4	10.21430/M3J2FJIVPW
N			Autoantibodies are highly prevalent in non-SARS-CoV-2 respiratory infections and critical illness	49.0	SeroNet	DR50	Athens influenza patient cohort;Marburg Influenza patient cohort;Healthy controls;Stanford Hospital ICU patients;Positive controls;Marburg COVID-19 negative cohort;Giessen pneumonia-induced ARDS patient cohort		Flow Cytometry (0);Multiplex Bead Array Assay (0)		36752204	0.0-89.0	2	ARM7651;ARM7654;ARM7656;ARM7657;ARM7652;ARM7653;ARM7655	0	N	2023-12-15			89	Immune Response	U54CA260517	50.0			2023-08-25	To evaluate the prevalence of anti-cytokine and autoantibodies across non-SARS-CoV-2 viral and, nonviral infections and range in severity of illness.			89.0	SDY2341	Mechanisms and Duration of Immunity to SARS-CoV-2	Kari Nadeau: Stanford University;Taia Wang: Stanford University		DR49	Not Applicable	N		Years	Flow Cytometry;Multiplex Bead Array Assay	0.0	10.21430/M3FFX45TTD
Y	Male;Female;Not Specified	Hispanic or Latino;Other;Not Hispanic or Latino;Not Specified	T cell responses to H1N1v and a longitudinal study of seasonal influenza vaccination (TIV) SLVP015 2010 (See companion studies SDY315 2012 / SDY312 2009 / SDY314 2008 / SDY112 2011)	18.0	Human Immunology Project Consortium (HIPC) RFA-AI-14-007, RFA-AI-09-040	DR50.2	CyTOF technical control samples;Group B;Group C;Group A;phospho  flow_cytometry control samples	Immunology Test (125);CMV Serology (69);Blood Cell Count with Differential (1505)	CyTOF (79);Flow Cytometry (464);Hemagglutination Inhibition (140);Luminex xMAP (426);Meso Scale Discovery ECL (219);Transcription profiling by array (73)	https://clinicaltrials.gov/ct2/show/NCT01827462	28092664;28179497;30842675;31636302	23.09-90.0	4	ARM2202;ARM2127;ARM2128;ARM2126;ARM2524	18	Y	2024-02-29	Female, Male, Not Specified	B7-2 (79);CCR6 (79);CCR7 (158);CD11b (79);CD11c (79);CD123 (79);CD127 (158);CD14 (158);CD16 (158);CD161 (158);CD19 (158);CD20 (622);CD24 (158);CD27 (158);CD278 (79);CD28 (158);CD3 (622);CD38 (158);CD4 (622);CD45RA (622);CD56 (158);CD57 (79);CD8 (158);CD85J (158);CD94 (158);CXCR3 (79);CXCR5 (79);HLADR (158);IgD (158);IL2RA (158);PD1 (79);SIGLEC-3 (622)	90	Vaccine Response	AI090019	50.2	Other;Unknown;White;Asian;American Indian or Alaska Native;Not Specified	76	2016-03-18	Systems biology approach to examine effects of seasonal flu vaccination in adults of different ages on gene expression, cytokine stimulation and serum cytokines with parameters such as immune senescence to uncover new markers and mechanisms behind failure of immune function in many older people.	Other;Serum;Whole blood;PBMC;Plasma	SDY312 (68);SDY314 (72);SDY887 (21);SDY1464 (59);SDY183 (59);SDY212 (71);SDY460 (20);SDY773 (20);SDY315 (53);SDY478 (52);SDY112 (61);SDY113 (1);SDY305 (1);SDY472 (1);SDY515 (1);SDY519 (1);SDY1465 (1);SDY1466 (1);SDY1482 (1);SDY1483 (1);SDY1471 (1);SDY1469 (1);SDY1479 (1);SDY1480 (1);SDY1481 (1);SDY1484 (1);SDY406 (1);SDY1472 (1);SDY2471 (1);SDY2497 (1)	90.0	SDY311	Vaccination and infection: indicators of immunological health and responsiveness	Mark Davis: Stanford University	Homo sapiens	DR18	influenza;swine influenza;Aging	N		Years	CyTOF;Transcription profiling by array;Flow Cytometry;Luminex xMAP;Hemagglutination Inhibition;Meso Scale Discovery ECL	23.09	10.21430/M33MSDRJ55
N			Ad26 vaccine protects against SARS-CoV-2 severe clinical disease in hamsters	50.0	SeroNet	DR50.2	Sham controls;Low dose group;S.dTM.PP group;High dose group;S.PP group		ELISA (0);Flow Cytometry (0);Histopathology (0);in situ Hybridization (0);Multiplex Bead Array Assay (0);PCR (0);Pseudovirus Neutralization Assay (0)		32884153	0.0-89.0	9	ARM8054;ARM8050;ARM8051;ARM8053;ARM8052	0	N	2024-02-29			89	Vaccine Response	U01CA260476	50.2			2023-12-15	To assess the clinical and virologic characteristics of high-dose SARS-CoV-2 infection in hamsters and to evaluate the protective efficacy of an adenovirus serotype 26 (Ad26) vector-based vaccine.			89.0	SDY2432	Immunologic Signatures of SARS-CoV-2 Vaccination and Disease	Dan Barouch: Beth Israel Deaconess Medical Center - Harvard Medical School;Lisa Tostanoski: Beth Israel Deaconess Medical Center - Harvard Medical School		DR50	COVID-19	N		Years	Multiplex Bead Array Assay;Pseudovirus Neutralization Assay;ELISA;Flow Cytometry;Histopathology;PCR;in situ Hybridization	0.0	10.21430/M3P4ALD7A6
N			High Frequency of Prior Severe Acute Respiratory Syndrome Coronavirus 2 Infection by Sensitive Nucleocapsid Assays	54.1	SeroNet	DR54.1	Vaccinated participants		Chemiluminescent Assay (0);Flow Cytometry (0);Multiplex Immunoassay (0);Single-Molecule Array (SIMOA) (0)		38566610	25.0-77.0	2	ARM10798	25	N	2025-01-30			77	Epidemiology	U01CA260476	54.1			2025-01-30	To evaluate whether Simoa serology assay and T-cell intracellular cytokine staining assay are more sensitive than the clinical Elecsys assay in the detection of nucleocapsid-specific immune responses.			77.0	SDY2924	Immunologic Signatures of SARS-CoV-2 Vaccination and Disease	Dan Barouch: Beth Israel Deaconess Medical Center - Harvard Medical School;Ai-ris Collier: Beth Israel Deaconess Medical Center - Harvard Medical School		DR54.1	COVID-19	N		Years	Single-Molecule Array (SIMOA);Flow Cytometry;Multiplex Immunoassay;Chemiluminescent Assay	25.0	10.21430/M30HDWUO6Z
